time,lead_h,p10,p50,p90
2026-02-02 13:00:00,24,0.0,0.2752,0.3751
2026-02-02 14:00:00,24,0.0002,0.2835,0.3725
2026-02-02 15:00:00,24,0.0015,0.2837,0.5222
2026-02-02 16:00:00,24,0.0046,0.3003,0.4886
2026-02-02 17:00:00,24,0.0018,0.2338,0.4702
2026-02-02 18:00:00,24,0.0015,0.1357,0.4008
2026-02-02 19:00:00,24,0.0,0.2565,0.5841
2026-02-02 20:00:00,24,0.0581,0.3584,0.862
2026-02-02 21:00:00,24,0.1139,0.378,0.9397
2026-02-02 22:00:00,24,0.1199,0.4571,0.9487
2026-02-02 23:00:00,24,0.1315,0.5385,0.9372
2026-02-03 00:00:00,24,0.0087,0.1028,0.7806
2026-02-03 01:00:00,24,0.0004,0.0711,0.5978
2026-02-03 02:00:00,24,0.0,0.0202,0.1348
2026-02-03 03:00:00,24,0.0,0.0,0.0374
2026-02-03 04:00:00,24,0.0,0.0043,0.062
2026-02-03 05:00:00,24,0.0,0.0268,0.1026
2026-02-03 06:00:00,24,0.001,0.1367,0.274
2026-02-03 07:00:00,24,0.0125,0.183,0.3368
2026-02-03 08:00:00,24,0.012,0.1425,0.2925
2026-02-03 09:00:00,24,0.0131,0.1229,0.1922
2026-02-03 10:00:00,24,0.0,0.1089,0.2886
2026-02-03 11:00:00,24,0.0132,0.1822,0.335
2026-02-03 12:00:00,24,0.0,0.2402,0.3213
2026-02-03 13:00:00,24,0.0035,0.2919,0.5556
2026-02-03 14:00:00,24,0.0714,0.4468,0.8486
2026-02-03 15:00:00,24,0.0979,0.521,0.8703
2026-02-03 16:00:00,24,0.1004,0.596,0.8577
2026-02-03 17:00:00,24,0.086,0.5989,0.8939
2026-02-03 18:00:00,24,0.0454,0.3746,0.8087
2026-02-03 19:00:00,24,0.0512,0.4593,0.8017
2026-02-03 20:00:00,24,0.0902,0.5583,0.8785
2026-02-03 21:00:00,24,0.0668,0.4725,0.8556
2026-02-03 22:00:00,24,0.0693,0.5292,0.8375
2026-02-03 23:00:00,24,0.0773,0.5825,0.8768
2026-02-04 00:00:00,24,0.0362,0.5231,0.8879
2026-02-04 01:00:00,24,0.0764,0.4829,0.8235
2026-02-04 02:00:00,24,0.1006,0.4697,0.8344
2026-02-04 03:00:00,24,0.0603,0.3922,0.8331
2026-02-04 04:00:00,24,0.0606,0.4763,0.9139
2026-02-04 05:00:00,24,0.0442,0.4286,0.9186
2026-02-04 06:00:00,24,0.0294,0.2931,0.7271
2026-02-04 07:00:00,24,0.0195,0.1803,0.4772
2026-02-04 08:00:00,24,0.0122,0.2366,0.3789
2026-02-04 09:00:00,24,0.0177,0.2168,0.343
2026-02-04 10:00:00,24,0.0146,0.1277,0.2767
2026-02-04 11:00:00,24,0.0145,0.1122,0.1682
2026-02-04 12:00:00,24,0.0,0.0711,0.2243
2026-02-04 13:00:00,24,0.0,0.1537,0.3132
2026-02-04 14:00:00,24,0.0032,0.3256,0.5145
2026-02-04 15:00:00,24,0.113,0.5294,0.9389
2026-02-04 16:00:00,24,0.2263,0.7029,1.0
2026-02-04 17:00:00,24,0.2993,0.7831,0.9828
2026-02-04 18:00:00,24,0.3992,0.9361,1.0
2026-02-04 19:00:00,24,0.4585,0.8752,1.0
2026-02-04 20:00:00,24,0.5754,0.8028,1.0
2026-02-04 21:00:00,24,0.6158,0.7963,0.9777
2026-02-04 22:00:00,24,0.7103,0.8431,0.9811
2026-02-04 23:00:00,24,0.7754,0.8858,0.982
2026-02-05 00:00:00,24,0.7661,0.8843,0.9855
2026-02-05 01:00:00,24,0.8074,0.9566,0.9732
2026-02-05 02:00:00,24,0.8074,0.9477,0.9731
2026-02-05 03:00:00,24,0.8553,0.9576,0.9733
2026-02-05 04:00:00,24,0.7995,0.9507,0.9737
2026-02-05 05:00:00,24,0.8629,0.9739,0.978
2026-02-05 06:00:00,24,0.8606,0.9715,0.9933
2026-02-05 07:00:00,24,0.8878,0.964,0.9715
2026-02-05 08:00:00,24,0.8698,0.9496,0.9765
2026-02-05 09:00:00,24,0.7922,0.9732,0.9751
2026-02-05 10:00:00,24,0.5602,0.8619,1.0
2026-02-05 11:00:00,24,0.4578,0.9805,1.0
2026-02-05 12:00:00,24,0.2836,0.7455,0.9793
2026-02-05 13:00:00,24,0.2097,0.6926,0.9845
2026-02-05 14:00:00,24,0.2055,0.7505,0.9654
2026-02-05 15:00:00,24,0.2495,0.7233,0.9569
2026-02-05 16:00:00,24,0.2468,0.6455,0.9724
2026-02-05 17:00:00,24,0.1454,0.5369,0.9895
2026-02-05 18:00:00,24,0.1164,0.4756,0.9639
2026-02-05 19:00:00,24,0.1369,0.513,0.9163
2026-02-05 20:00:00,24,0.0542,0.4273,0.854
2026-02-05 21:00:00,24,0.0271,0.5012,0.8034
2026-02-05 22:00:00,24,0.0008,0.3614,0.6904
2026-02-05 23:00:00,24,0.0006,0.2198,0.5154
2026-02-06 00:00:00,24,0.0,0.0583,0.1635
2026-02-06 01:00:00,24,0.0,0.1731,0.2748
2026-02-06 02:00:00,24,0.0,0.1673,0.4748
2026-02-06 03:00:00,24,0.0002,0.2435,0.7319
2026-02-06 04:00:00,24,0.0218,0.3433,0.7371
2026-02-06 05:00:00,24,0.0619,0.5322,0.9972
2026-02-06 06:00:00,24,0.0734,0.5029,0.8862
2026-02-06 07:00:00,24,0.2431,0.5967,0.9071
2026-02-06 08:00:00,24,0.4635,0.742,0.9795
2026-02-06 09:00:00,24,0.7888,0.887,0.9722
2026-02-06 10:00:00,24,0.8484,0.9358,0.9705
2026-02-06 11:00:00,24,0.8713,0.945,0.9852
2026-02-06 12:00:00,24,0.8734,0.9429,0.9804
2026-02-06 13:00:00,24,0.8585,0.946,0.9821
2026-02-06 14:00:00,24,0.8585,0.9678,0.9787
2026-02-06 15:00:00,24,0.8673,0.9464,0.979
2026-02-06 16:00:00,24,0.8656,0.9542,0.9783
2026-02-06 17:00:00,24,0.8178,0.9184,0.9747
2026-02-06 18:00:00,24,0.37,0.953,0.9997
2026-02-06 19:00:00,24,0.2092,0.716,0.9525
2026-02-06 20:00:00,24,0.1688,0.5885,0.96
2026-02-06 21:00:00,24,0.1821,0.6561,0.9369
2026-02-06 22:00:00,24,0.1409,0.531,0.8743
2026-02-06 23:00:00,24,0.0615,0.3895,0.7685
2026-02-07 00:00:00,24,0.0096,0.1819,0.5201
2026-02-07 01:00:00,24,0.0,0.076,0.1336
2026-02-07 02:00:00,24,0.0,0.1053,0.2594
2026-02-07 03:00:00,24,0.0,0.0505,0.1571
2026-02-07 04:00:00,24,0.0,0.0354,0.1664
2026-02-07 05:00:00,24,0.0,0.1094,0.3361
2026-02-07 06:00:00,24,0.0033,0.0796,0.6114
2026-02-07 07:00:00,24,0.0643,0.302,0.8884
2026-02-07 08:00:00,24,0.0694,0.388,0.857
2026-02-07 09:00:00,24,0.0217,0.385,0.7305
2026-02-07 10:00:00,24,0.005,0.251,0.4746
2026-02-07 11:00:00,24,0.0,0.1954,0.3297
2026-02-07 12:00:00,24,0.0,0.2955,0.4594
2026-02-07 13:00:00,24,0.0065,0.1005,0.3402
2026-02-07 14:00:00,24,0.0731,0.3568,0.8313
2026-02-07 15:00:00,24,0.1704,0.4315,0.8127
2026-02-07 16:00:00,24,0.2489,0.5578,0.9431
2026-02-07 17:00:00,24,0.3346,0.6944,0.9643
2026-02-07 18:00:00,24,0.4345,0.7605,0.9819
2026-02-07 19:00:00,24,0.4138,0.7612,0.9847
2026-02-07 20:00:00,24,0.4507,0.7498,0.98
2026-02-07 21:00:00,24,0.4558,0.7713,0.9728
2026-02-07 22:00:00,24,0.5082,0.8528,0.972
2026-02-07 23:00:00,24,0.4136,0.8411,0.9861
2026-02-08 00:00:00,24,0.2897,0.7274,0.9556
2026-02-08 01:00:00,24,0.1429,0.6492,0.9304
2026-02-08 02:00:00,24,0.0613,0.4884,0.8623
2026-02-08 03:00:00,24,0.0112,0.2076,0.688
2026-02-08 04:00:00,24,0.0,0.0649,0.2836
2026-02-08 05:00:00,24,0.0,0.0325,0.1636
2026-02-08 06:00:00,24,0.0,0.0016,0.0646
2026-02-08 07:00:00,24,0.0,0.0,0.1486
2026-02-08 08:00:00,24,0.0,0.0317,0.1751
2026-02-08 09:00:00,24,0.0,0.1526,0.372
2026-02-08 10:00:00,24,0.1351,0.6135,0.9508
2026-02-08 11:00:00,24,0.4826,0.9511,1.0
2026-02-08 12:00:00,24,0.7228,0.9997,1.0
2026-02-08 13:00:00,24,0.7915,0.9756,0.9876
2026-02-08 14:00:00,24,0.8231,0.9911,1.0
2026-02-08 15:00:00,24,0.8215,0.9918,1.0
2026-02-08 16:00:00,24,0.8325,0.991,0.9925
2026-02-08 17:00:00,24,0.8673,0.9795,0.9848
2026-02-08 18:00:00,24,0.8272,0.9359,0.9872
2026-02-08 19:00:00,24,0.8586,0.9365,0.988
2026-02-08 20:00:00,24,0.8586,0.9526,0.9902
2026-02-08 21:00:00,24,0.8586,0.9235,0.9884
2026-02-08 22:00:00,24,0.8586,0.9055,0.9878
2026-02-08 23:00:00,24,0.8515,0.9342,0.9876
2026-02-09 00:00:00,24,0.7335,0.8163,0.983
2026-02-09 01:00:00,24,0.7081,0.82,0.9784
2026-02-09 02:00:00,24,0.7173,0.8106,0.9804
2026-02-09 03:00:00,24,0.6846,0.7473,0.9787
2026-02-09 04:00:00,24,0.6418,0.7324,0.9833
2026-02-09 05:00:00,24,0.5907,0.7953,0.9974
2026-02-09 06:00:00,24,0.6256,0.8387,0.9959
2026-02-09 07:00:00,24,0.7275,0.9019,0.9763
2026-02-09 08:00:00,24,0.652,0.8957,0.974
2026-02-09 09:00:00,24,0.6911,0.9647,0.9752
2026-02-09 10:00:00,24,0.6688,0.9985,0.9989
2026-02-09 11:00:00,24,0.6827,0.9812,1.0
2026-02-09 12:00:00,24,0.449,0.9108,1.0
2026-02-09 13:00:00,24,0.2813,0.7797,0.9888
2026-02-09 14:00:00,24,0.1334,0.6077,0.9707
2026-02-09 15:00:00,24,0.0441,0.6386,0.9079
2026-02-09 16:00:00,24,0.0002,0.2601,0.5598
2026-02-09 17:00:00,24,0.0,0.1225,0.2108
2026-02-09 18:00:00,24,0.0,0.101,0.1692
2026-02-09 19:00:00,24,0.0,0.2072,0.3266
2026-02-09 20:00:00,24,0.0002,0.2654,0.4074
2026-02-09 21:00:00,24,0.0,0.1244,0.3075
2026-02-09 22:00:00,24,0.0,0.156,0.2908
2026-02-09 23:00:00,24,0.0,0.2202,0.395
2026-02-10 00:00:00,24,0.0,0.0043,0.2526
2026-02-10 01:00:00,24,0.0,0.0682,0.1968
2026-02-10 02:00:00,24,0.0,0.1449,0.3592
2026-02-10 03:00:00,24,0.0,0.1274,0.496
2026-02-10 04:00:00,24,0.0017,0.2931,0.5449
2026-02-10 05:00:00,24,0.0033,0.2494,0.4972
2026-02-10 06:00:00,24,0.0,0.1746,0.3319
2026-02-10 07:00:00,24,0.0141,0.0808,0.3234
2026-02-10 08:00:00,24,0.0561,0.5588,0.7593
2026-02-10 09:00:00,24,0.0553,0.385,0.7116
2026-02-10 10:00:00,24,0.0683,0.3271,0.6878
2026-02-10 11:00:00,24,0.094,0.4899,0.8605
2026-02-10 12:00:00,24,0.0826,0.4905,0.8837
2026-02-10 13:00:00,24,0.0167,0.2538,0.5226
2026-02-10 14:00:00,24,0.007,0.2474,0.4857
2026-02-10 15:00:00,24,0.1695,0.7473,1.0
2026-02-10 16:00:00,24,0.561,0.9289,0.997
2026-02-10 17:00:00,24,0.6694,0.9977,1.0
2026-02-10 18:00:00,24,0.7906,1.0,1.0
2026-02-10 19:00:00,24,0.812,0.914,0.9814
2026-02-10 20:00:00,24,0.7601,0.8968,0.9868
2026-02-10 21:00:00,24,0.5579,0.8956,0.9939
2026-02-10 22:00:00,24,0.2567,0.6738,0.993
2026-02-10 23:00:00,24,0.0,0.3603,0.5682
2026-02-11 00:00:00,24,0.0,0.094,0.3343
2026-02-11 01:00:00,24,0.0,0.073,0.191
2026-02-11 02:00:00,24,0.0,0.0,0.0758
2026-02-11 03:00:00,24,0.0,0.0456,0.2199
2026-02-11 04:00:00,24,0.0,0.1759,0.3461
2026-02-11 05:00:00,24,0.0,0.2303,0.6784
2026-02-11 06:00:00,24,0.0249,0.2836,0.7729
2026-02-11 07:00:00,24,0.024,0.3591,0.7257
2026-02-11 08:00:00,24,0.0,0.2522,0.4629
2026-02-11 09:00:00,24,0.0851,0.405,0.733
2026-02-11 10:00:00,24,0.38,0.7022,0.9508
2026-02-11 11:00:00,24,0.7901,0.9044,0.9735
2026-02-11 12:00:00,24,0.8779,0.9327,0.9814
2026-02-11 13:00:00,24,0.8564,0.9095,0.9832
2026-02-11 14:00:00,24,0.7902,0.8865,0.9862
2026-02-11 15:00:00,24,0.6385,0.8938,0.9887
2026-02-11 16:00:00,24,0.4943,0.8382,0.9819
2026-02-11 17:00:00,24,0.4698,0.8409,0.971
2026-02-11 18:00:00,24,0.2293,0.7774,1.0
2026-02-11 19:00:00,24,0.1481,0.6855,0.9964
2026-02-11 20:00:00,24,0.1023,0.6006,0.9724
2026-02-11 21:00:00,24,0.0925,0.6019,0.9682
2026-02-11 22:00:00,24,0.063,0.4492,0.8087
2026-02-11 23:00:00,24,0.0286,0.3787,0.6538
2026-02-12 00:00:00,24,0.0,0.2128,0.4533
2026-02-12 01:00:00,24,0.0,0.1306,0.3163
2026-02-12 02:00:00,24,0.0,0.0593,0.1729
2026-02-12 03:00:00,24,0.0,0.0,0.0665
2026-02-12 04:00:00,24,0.0,0.0308,0.1506
2026-02-12 05:00:00,24,0.0,0.0064,0.0745
2026-02-12 06:00:00,24,0.0,0.0021,0.1174
2026-02-12 07:00:00,24,0.0,0.0557,0.1061
2026-02-12 08:00:00,24,0.0,0.0483,0.1232
2026-02-12 09:00:00,24,0.0,0.0459,0.0883
2026-02-12 10:00:00,24,0.0,0.0675,0.1826
2026-02-12 11:00:00,24,0.0,0.1061,0.2536
2026-02-12 12:00:00,24,0.0019,0.1219,0.2322
2026-02-12 13:00:00,24,0.0058,0.2123,0.4378
2026-02-12 14:00:00,24,0.0066,0.1521,0.4039
2026-02-12 15:00:00,24,0.0,0.0703,0.1606
2026-02-12 16:00:00,24,0.0,0.0904,0.1404
2026-02-12 17:00:00,24,0.0,0.0685,0.1396
2026-02-12 18:00:00,24,0.0,0.067,0.1708
2026-02-12 19:00:00,24,0.0,0.1065,0.2306
2026-02-12 20:00:00,24,0.0,0.0621,0.2362
2026-02-12 21:00:00,24,0.0,0.0981,0.2822
2026-02-12 22:00:00,24,0.0,0.037,0.2418
2026-02-12 23:00:00,24,0.0,0.0608,0.1549
2026-02-13 00:00:00,24,0.0,0.0,0.0681
2026-02-13 01:00:00,24,0.0,0.0033,0.017
2026-02-13 02:00:00,24,0.0,0.0158,0.1097
2026-02-13 03:00:00,24,0.0,0.0116,0.1465
2026-02-13 04:00:00,24,0.0,0.0,0.1352
2026-02-13 05:00:00,24,0.0,0.0,0.122
2026-02-13 06:00:00,24,0.0,0.0302,0.1653
2026-02-13 07:00:00,24,0.0,0.0,0.0888
2026-02-13 08:00:00,24,0.0,0.0575,0.1238
2026-02-13 09:00:00,24,0.0,0.0373,0.1377
2026-02-13 10:00:00,24,0.0,0.0,0.1553
2026-02-13 11:00:00,24,0.0001,0.1318,0.1551
2026-02-13 12:00:00,24,0.0,0.1751,0.1812
2026-02-13 13:00:00,24,0.0,0.2575,0.3175
2026-02-13 14:00:00,24,0.0004,0.2346,0.3709
2026-02-13 15:00:00,24,0.052,0.5701,0.8672
2026-02-13 16:00:00,24,0.2403,0.7663,1.0
2026-02-13 17:00:00,24,0.3532,0.8121,0.9922
2026-02-13 18:00:00,24,0.3576,0.8409,1.0
2026-02-13 19:00:00,24,0.3625,0.8589,0.9889
2026-02-13 20:00:00,24,0.3701,0.7609,0.9966
2026-02-13 21:00:00,24,0.3221,0.6907,0.9834
2026-02-13 22:00:00,24,0.304,0.6001,0.98
2026-02-13 23:00:00,24,0.2079,0.5789,0.9583
2026-02-14 00:00:00,24,0.0,0.2217,0.8345
2026-02-14 01:00:00,24,0.0,0.1659,0.5645
2026-02-14 02:00:00,24,0.0,0.0025,0.2348
2026-02-14 03:00:00,24,0.0,0.0,0.1519
2026-02-14 04:00:00,24,0.0,0.0684,0.1997
2026-02-14 05:00:00,24,0.0,0.0092,0.1923
2026-02-14 06:00:00,24,0.0,0.0,0.1428
2026-02-14 07:00:00,24,0.0,0.0,0.1845
2026-02-14 08:00:00,24,0.0,0.0,0.1105
2026-02-14 09:00:00,24,0.0,0.0292,0.0588
2026-02-14 10:00:00,24,0.0,0.0147,0.1402
2026-02-14 11:00:00,24,0.0,0.0414,0.1933
2026-02-14 12:00:00,24,0.0,0.2166,0.3935
2026-02-14 13:00:00,24,0.0,0.2554,0.4165
2026-02-14 14:00:00,24,0.0,0.1188,0.291
2026-02-14 15:00:00,24,0.0,0.0404,0.086
2026-02-14 16:00:00,24,0.0,0.0955,0.1609
2026-02-14 17:00:00,24,0.0,0.0335,0.1005
2026-02-14 18:00:00,24,0.0,0.0478,0.1843
2026-02-14 19:00:00,24,0.0,0.1377,0.3441
2026-02-14 20:00:00,24,0.0,0.143,0.2795
2026-02-14 21:00:00,24,0.0,0.0659,0.1977
2026-02-14 22:00:00,24,0.0,0.0856,0.2161
2026-02-14 23:00:00,24,0.0,0.0324,0.1495
2026-02-15 00:00:00,24,0.0,0.0692,0.2177
2026-02-15 01:00:00,24,0.0119,0.048,0.5499
2026-02-15 02:00:00,24,0.0409,0.1585,0.8042
2026-02-15 03:00:00,24,0.1134,0.2855,0.9218
2026-02-15 04:00:00,24,0.3092,0.477,0.9681
2026-02-15 05:00:00,24,0.2571,0.5656,1.0
2026-02-15 06:00:00,24,0.3199,0.6864,0.967
2026-02-15 07:00:00,24,0.5016,0.7946,0.9861
2026-02-15 08:00:00,24,0.6553,0.8986,0.9882
2026-02-15 09:00:00,24,0.5802,0.9018,0.9778
2026-02-15 10:00:00,24,0.5981,0.9574,0.9886
2026-02-15 11:00:00,24,0.5076,0.9436,0.9849
2026-02-15 12:00:00,24,0.4661,0.9952,1.0
2026-02-15 13:00:00,24,0.4089,0.9519,1.0
2026-02-15 14:00:00,24,0.384,0.9655,1.0
2026-02-15 15:00:00,24,0.3902,0.9087,0.989
2026-02-15 16:00:00,24,0.3219,0.8138,0.9937
2026-02-15 17:00:00,24,0.1749,0.6814,0.9607
2026-02-15 18:00:00,24,0.1009,0.6108,0.9294
2026-02-15 19:00:00,24,0.0708,0.5468,0.9074
2026-02-15 20:00:00,24,0.1267,0.6568,0.9368
2026-02-15 21:00:00,24,0.1808,0.7147,0.9806
2026-02-15 22:00:00,24,0.1563,0.6928,0.9806
2026-02-15 23:00:00,24,0.153,0.6702,0.9625
2026-02-16 00:00:00,24,0.1093,0.5002,0.9404
2026-02-16 01:00:00,24,0.1356,0.4582,0.9357
2026-02-16 02:00:00,24,0.1386,0.5159,0.95
2026-02-16 03:00:00,24,0.1365,0.5562,0.9451
2026-02-16 04:00:00,24,0.1803,0.51,0.9617
2026-02-16 05:00:00,24,0.0758,0.5531,0.9345
2026-02-16 06:00:00,24,0.1691,0.489,0.9589
2026-02-16 07:00:00,24,0.3374,0.6085,0.9628
2026-02-16 08:00:00,24,0.2144,0.6387,0.9955
2026-02-16 09:00:00,24,0.1461,0.702,0.9332
2026-02-16 10:00:00,24,0.0821,0.6496,0.9373
2026-02-16 11:00:00,24,0.0653,0.6155,0.8874
2026-02-16 12:00:00,24,0.0778,0.638,0.9413
2026-02-16 13:00:00,24,0.1071,0.7057,0.951
2026-02-16 14:00:00,24,0.1039,0.7023,0.9597
2026-02-16 15:00:00,24,0.1401,0.6079,0.9686
2026-02-16 16:00:00,24,0.1319,0.6639,0.9696
2026-02-16 17:00:00,24,0.0993,0.6304,0.9583
2026-02-16 18:00:00,24,0.08,0.6121,0.9188
2026-02-16 19:00:00,24,0.0759,0.6033,0.921
2026-02-16 20:00:00,24,0.0764,0.6171,0.8922
2026-02-16 21:00:00,24,0.0859,0.5811,0.9067
2026-02-16 22:00:00,24,0.0841,0.5248,0.9559
2026-02-16 23:00:00,24,0.1075,0.4699,0.9292
2026-02-17 00:00:00,24,0.0028,0.2101,0.7195
2026-02-17 01:00:00,24,0.0,0.1001,0.487
2026-02-17 02:00:00,24,0.0027,0.1172,0.4068
2026-02-17 03:00:00,24,0.0,0.0555,0.4212
2026-02-17 04:00:00,24,0.0,0.0375,0.5178
2026-02-17 05:00:00,24,0.0051,0.0533,0.7229
2026-02-17 06:00:00,24,0.0,0.1677,0.6229
2026-02-17 07:00:00,24,0.0278,0.2037,0.6012
2026-02-17 08:00:00,24,0.0182,0.1963,0.5767
2026-02-17 09:00:00,24,0.0222,0.2388,0.5947
2026-02-17 10:00:00,24,0.0425,0.5086,0.7975
2026-02-17 11:00:00,24,0.0688,0.6293,0.9034
2026-02-17 12:00:00,24,0.177,0.6929,0.9949
2026-02-17 13:00:00,24,0.276,0.6845,0.9688
2026-02-17 14:00:00,24,0.34,0.8198,1.0
2026-02-17 15:00:00,24,0.2423,0.8059,1.0
2026-02-17 16:00:00,24,0.3751,0.79,1.0
2026-02-17 17:00:00,24,0.3389,0.8529,0.9977
2026-02-17 18:00:00,24,0.3125,0.7677,1.0
2026-02-17 19:00:00,24,0.3373,0.8035,0.9952
2026-02-17 20:00:00,24,0.378,0.7728,1.0
2026-02-17 21:00:00,24,0.2711,0.7025,0.9863
2026-02-17 22:00:00,24,0.2289,0.7233,0.9929
2026-02-17 23:00:00,24,0.3184,0.828,0.9833
2026-02-18 00:00:00,24,0.2873,0.712,0.9797
2026-02-18 01:00:00,24,0.2355,0.7754,0.9715
2026-02-18 02:00:00,24,0.3012,0.7202,0.9721
2026-02-18 03:00:00,24,0.4416,0.6714,0.9783
2026-02-18 04:00:00,24,0.4357,0.6821,0.9838
2026-02-18 05:00:00,24,0.5186,0.748,0.9875
2026-02-18 06:00:00,24,0.6108,0.8178,0.9773
2026-02-18 07:00:00,24,0.7991,0.9381,0.9734
2026-02-18 08:00:00,24,0.791,0.9826,0.9861
2026-02-18 09:00:00,24,0.8004,0.982,1.0
2026-02-18 10:00:00,24,0.7334,0.9642,0.991
2026-02-18 11:00:00,24,0.5224,0.9494,0.9858
2026-02-18 12:00:00,24,0.5752,0.9789,0.9842
2026-02-18 13:00:00,24,0.3009,0.7967,0.9876
2026-02-18 14:00:00,24,0.3203,0.8449,0.9979
2026-02-18 15:00:00,24,0.2872,0.8576,1.0
2026-02-18 16:00:00,24,0.275,0.6322,0.986
2026-02-18 17:00:00,24,0.1723,0.7509,1.0
2026-02-18 18:00:00,24,0.1337,0.6571,0.9526
2026-02-18 19:00:00,24,0.1324,0.5219,0.9385
2026-02-18 20:00:00,24,0.0554,0.5554,0.9076
2026-02-18 21:00:00,24,0.0509,0.5762,0.9026
2026-02-18 22:00:00,24,0.0467,0.6061,0.872
2026-02-18 23:00:00,24,0.03,0.4928,0.7853
2026-02-19 00:00:00,24,0.0032,0.2224,0.6522
2026-02-19 01:00:00,24,0.0,0.1565,0.6543
2026-02-19 02:00:00,24,0.0027,0.2137,0.6962
2026-02-19 03:00:00,24,0.0058,0.4088,0.8658
2026-02-19 04:00:00,24,0.0369,0.4014,0.878
2026-02-19 05:00:00,24,0.0259,0.4111,0.8981
2026-02-19 06:00:00,24,0.0382,0.4123,0.8465
2026-02-19 07:00:00,24,0.0288,0.3209,0.7344
2026-02-19 08:00:00,24,0.0244,0.3519,0.6102
2026-02-19 09:00:00,24,0.0205,0.3597,0.6157
2026-02-19 10:00:00,24,0.0288,0.3432,0.5301
2026-02-19 11:00:00,24,0.0002,0.2882,0.3823
2026-02-19 12:00:00,24,0.0144,0.3374,0.3612
2026-02-19 13:00:00,24,0.0,0.2353,0.373
2026-02-19 14:00:00,24,0.0,0.0732,0.145
2026-02-19 15:00:00,24,0.0004,0.1424,0.1513
2026-02-19 16:00:00,24,0.0122,0.2588,0.273
2026-02-19 17:00:00,24,0.0679,0.3573,0.5696
2026-02-19 18:00:00,24,0.0582,0.5107,0.8011
2026-02-19 19:00:00,24,0.1065,0.6065,0.8787
2026-02-19 20:00:00,24,0.087,0.6117,0.8562
2026-02-19 21:00:00,24,0.0891,0.655,0.9195
2026-02-19 22:00:00,24,0.1121,0.6161,0.8756
2026-02-19 23:00:00,24,0.1223,0.6926,0.9162
2026-02-20 00:00:00,24,0.1413,0.6916,0.9399
2026-02-20 01:00:00,24,0.1941,0.7131,0.959
2026-02-20 02:00:00,24,0.1923,0.5924,0.9356
2026-02-20 03:00:00,24,0.1205,0.4795,0.9066
2026-02-20 04:00:00,24,0.0828,0.4354,0.8851
2026-02-20 05:00:00,24,0.0177,0.3458,0.7568
2026-02-20 06:00:00,24,0.0067,0.238,0.4695
2026-02-20 07:00:00,24,0.0163,0.266,0.4339
2026-02-20 08:00:00,24,0.0176,0.185,0.2876
2026-02-20 09:00:00,24,0.0148,0.1278,0.208
2026-02-20 10:00:00,24,0.0,0.0946,0.1197
2026-02-20 11:00:00,24,0.0,0.0703,0.0828
2026-02-20 12:00:00,24,0.0,0.0473,0.0995
2026-02-20 13:00:00,24,0.0,0.2332,0.4676
2026-02-20 14:00:00,24,0.034,0.4167,0.5265
2026-02-20 15:00:00,24,0.077,0.7638,0.9851
2026-02-20 16:00:00,24,0.3018,0.8607,0.9993
2026-02-20 17:00:00,24,0.4189,0.9142,1.0
2026-02-20 18:00:00,24,0.5128,0.9154,1.0
